clade	species	ts	te
0	1006	6	4
0	1007	6	1
0	1008	2	1
0	1009	4	1
0	1010	9	7
0	1011	1	0
0	1012	13	2
0	1013	13	2
0	1014	13	2
0	1015	4	3
0	1016	9	1
0	1017	2	1
0	1018	6	5
0	1019	8	6
0	1020	5	3
0	1021	15	6
0	1022	10	4
0	1023	15	1
0	1024	15	10
0	1025	8	5
0	1026	12	4
0	1027	24	5
0	1028	11	6
0	1029	3	1
0	1030	1	0
0	1031	11	6
0	1032	1	0
0	1033	13	1
0	1034	5	1
0	1035	7	3
0	1036	9	3
0	1037	25	3
0	1038	2	1
0	1039	3	1
0	1040	20	12
0	1041	20	12
0	1042	5	1
0	1043	6	1
0	1044	6	0
0	1045	6	1
0	1046	9	4
0	1047	3	1
0	1048	5	0
0	1049	10	0
0	1050	8	0
0	1051	5	1
0	1052	4	3
0	1053	10	2
0	1054	6	1
0	1055	3	1
0	1056	5	2
0	1057	9	3
0	1058	27	26
0	1059	11	7
0	1060	7	1
0	1061	14	8
0	1062	9	0
0	1063	5	1
0	1064	12	1
0	1065	6	2
0	1066	5	0
0	1067	12	3
0	1068	2	1
0	1069	10	0
0	1070	6	1
0	1071	3	1
0	1072	5	2
0	1073	8	2
0	1074	9	6
0	1075	30	16
0	1076	24	1
0	1077	16	15
0	1078	8	6
0	1079	32	1
0	1080	9	2
0	1081	1	0
0	1082	8	5
0	1083	16	13
0	1084	13	2
0	1085	7	3
0	1086	8	0
0	1087	19	12
0	1088	19	0
0	1089	4	1
0	1090	1	0
0	1091	2	0
0	1092	15	2
0	1093	19	0
0	1094	16	1
0	1095	10	6
0	1096	19	1
0	1097	6	1
0	1098	19	2
0	1099	7	6
0	1100	15	0
0	1101	6	4
0	1102	7	2
0	1103	27	20
0	1104	25	9
0	1105	2	1
0	1106	17	3
0	1107	4	2
0	1108	5	2
0	1109	4	2
0	1110	6	0
0	1111	11	0
0	1112	5	2
0	1113	6	3
0	1114	4	2
0	1115	2	1
0	1116	14	12
0	1117	4	1
0	1118	10	7
0	1119	10	7
0	1120	12	6
0	1121	5	4
0	1122	5	3
0	1123	5	4
0	1124	21	14
0	1125	14	4
0	1126	6	5
0	1127	3	1
0	1128	3	2
0	1129	10	1
0	1130	9	8
0	1131	13	5
0	1132	9	0
0	1133	10	6
0	1134	18	9
0	1135	11	3
0	1136	2	1
0	1137	11	1
0	1138	14	1
0	1139	8	1
0	1140	9	1
0	1141	7	1
0	1142	19	0
0	1143	22	0
0	1144	15	1
0	1145	5	0
0	1146	18	2
0	1147	7	0
0	1148	22	14
0	1149	2	0
0	1150	7	0
0	1151	23	0
0	1152	20	1
0	1153	26	0
0	1154	30	0
0	1155	13	2
0	1156	22	0
0	1157	23	1
0	1158	18	2
0	1159	20	3
0	1160	20	2
0	1161	14	0
0	1162	17	0
0	1163	17	1
0	1164	15	4
0	1165	6	0
0	1166	12	1
0	1167	12	0
0	1168	9	3
0	1169	9	0
0	1170	10	0
0	1171	12	3
0	1172	9	0
0	1173	7	0
0	1174	7	0
0	1175	25	0
